"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"sample4","CD4 T cells",5,1,4,0.2,8613,1419,7.34006734006734,0.0362241086324301,0.624465370237475,0.588241261605044,FALSE,FALSE,FALSE,5,5,1,0.872463617735655,1,"ADT_suspicious",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample4","Macrophages",148,19,129,0.128378378378378,12205.5,3083,5.91545527159244,0.0837495426166482,0.191810631433732,0.108061088817084,TRUE,TRUE,TRUE,5,5,1,0.872463617735655,1,"ADT_suspicious",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_suspicious"
"sample42","Macrophages",1290,154,1136,0.11937984496124,9221.5,1037.5,5.35088328620832,0.102806627794582,0.138213210219366,0.0354065824247843,TRUE,TRUE,TRUE,5,5,0,0.495192189605585,1,"ADT_suspicious",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_suspicious"
"sample4","Neutrophils",74,6,68,0.0810810810810811,10718.5,2077,5.86549082231953,0.0376898501938264,0.165819424435578,0.128129574241752,TRUE,TRUE,TRUE,5,5,1,0.872463617735655,1,"ADT_suspicious",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_suspicious"
"sample42","Neutrophils",612,38,574,0.0620915032679739,7152.5,1052.5,5.33549522581165,0.045568884792077,0.0840772403219849,0.0385083555299079,TRUE,TRUE,TRUE,5,5,0,0.495192189605585,1,"ADT_suspicious",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_suspicious"
"sample42","CD4 T cells",20,1,19,0.05,9054.5,1846.5,5.29399890149675,0.00888144880079537,0.236131193446742,0.227249744645947,FALSE,FALSE,FALSE,5,5,0,0.495192189605585,1,"ADT_suspicious",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample39","Macrophages",80,1,79,0.0125,13269.5,1638,5.384025899744,0.00220997552045227,0.0674627007766866,0.0652527252562344,TRUE,TRUE,TRUE,5,5,1,0.657020683848343,1,"ADT_suspicious",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_suspicious"
"sample1","B cells",4,0,4,0,6661.5,383.5,7.43113639463389,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample1","DCs",279,0,279,0,13957,1442,6.32354262103656,0,0.0135816681073244,0.0135816681073244,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample1","NK cells",5,0,5,0,4390,235,5.44311560870899,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample1","Macrophages",57,0,57,0,14033,1621,6.24343514978362,0,0.0631388348529789,0.0631388348529789,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample1","Neutrophils",8,0,8,0,6275,919.5,6.80555520807448,0,0.32440756488388,0.32440756488388,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample12","B cells",13,0,13,0,4210,238,4.32304038004751,0,0.228095372354198,0.228095372354198,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample12","DCs",26,0,26,0,10097.5,1119,3.65714600820036,0,0.128728921859215,0.128728921859215,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample12","NK cells",1,0,1,0,2503,220,4.95405513383939,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample12","Macrophages",22,0,22,0,10851,1074.5,5.28125829039123,0,0.148654874608621,0.148654874608621,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample12","Neutrophils",10,0,10,0,8373.5,932.5,4.28962734783727,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample13","DCs",1,0,1,0,22519,1913,6.63439761978774,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample13","NK cells",1,0,1,0,17186,812,5.49284301175375,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample13","CD4 T cells",2,0,2,0,16125,3023.5,6.00766006910408,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample13","Macrophages",7,0,7,0,19116,3004,7.00998348057172,0,0.354330435066687,0.354330435066687,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample13","Neutrophils",8,0,8,0,10870.5,1059.5,5.37315757218553,0,0.32440756488388,0.32440756488388,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample15","B cells",3,0,3,0,3833,409,5.13957735455257,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample15","DCs",132,0,132,0,10950,1163.5,5.38523416883401,1.73472347597681e-18,0.0282789867986085,0.0282789867986085,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample15","NK cells",9,0,9,0,4332,347,5.30551415797317,0,0.299145048419544,0.299145048419544,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample15","CD4 T cells",2,0,2,0,4911.5,568.5,4.45440974490766,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample15","Macrophages",56,0,56,0,9182.5,981,4.96535907304744,0,0.0641939367187634,0.0641939367187634,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample15","Neutrophils",7,0,7,0,7497,991,5.72519083969466,0,0.354330435066687,0.354330435066687,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample15","CD8 T cells",1,0,1,0,2966,1148,5.2596089008766,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample17","B cells",2,0,2,0,3582,433,3.31421992385646,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample17","DCs",65,0,65,0,5176,2094,5.00655307994758,0,0.0558015313228569,0.0558015313228569,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample17","NK cells",9,0,9,0,2083,452,6.11256056653,0,0.299145048419544,0.299145048419544,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample17","Macrophages",11,0,11,0,8042,2049,5.07278341420379,0,0.258832966968032,0.258832966968032,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample17","Neutrophils",2,0,2,0,4247.5,1329,5.08990500692097,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample2","B cells",3,0,3,0,22231,1810,2.49555088173435,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample2","DCs",31,0,31,0,11090,1887,5.79625719070851,0,0.110255395460436,0.110255395460436,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample2","NK cells",5,0,5,0,5070,647,7.23739791607998,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample2","Macrophages",12,0,12,0,9952.5,1558.5,5.68013101512428,0,0.242494006655241,0.242494006655241,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample2","Neutrophils",5,0,5,0,6511,891,4.99540863177227,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample27","B cells",1,0,1,0,6587,833,6.46728404432974,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample27","DCs",21,0,21,0,10559,1374,5.79600340941377,0,0.154639018924847,0.154639018924847,FALSE,TRUE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample27","NK cells",2,0,2,0,9752.5,499.5,6.29186026045045,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample27","Macrophages",36,0,36,0,12253,2327.5,6.62336483978879,0,0.0964186285944636,0.0964186285944636,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample27","Neutrophils",30,0,30,0,8579.5,985,4.68650152173688,0,0.113513393173969,0.113513393173969,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_not_testable"
"sample28","B cells",1,0,1,0,3238,555,6.88696726374305,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample28","DCs",1,0,1,0,10817,2550,7.37727650919848,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample28","NK cells",1,0,1,0,3526,357,3.77197958026092,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample28","Macrophages",2,0,2,0,7362,1816.5,7.66960026345013,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample28","Neutrophils",4,0,4,0,16787,850,5.62796831730647,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample29","DCs",12,0,12,0,9368.5,733,5.63417265084293,0,0.242494006655241,0.242494006655241,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample29","NK cells",5,0,5,0,6265,582,6.41099026903263,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample29","Macrophages",1,0,1,0,15579,484,7.36247512677322,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample29","Neutrophils",8,0,8,0,7817.5,668.5,6.5752067560255,0,0.32440756488388,0.32440756488388,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample30","B cells",20,0,20,0,7160.5,396.5,5.92068979961795,1.38777878078145e-17,0.161125158052819,0.161125158052819,FALSE,TRUE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample30","DCs",242,0,242,0,9703,918.5,6.1057666734742,0,0.0156257566934465,0.0156257566934465,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
